003145880 to 571083522 (777 seconds)
Miguel Pereira to Paula Pacheco (764 seconds)
Miguel Pereira to Paulo Oliveira (42 seconds)
Miguel Pereira to Rui Nunes (702 seconds)
Miguel Pereira to Tiago Alberto (271 seconds)
Miguel Silva to 377329496 (805 seconds)
Miguel Silva to Ana Melo (252 seconds)
Miguel Silva to Ana Oliveira (548 seconds)
Miguel Silva to Antonio Nunes (480 seconds)
Miguel Silva to Dinis Nunes (729 seconds)
Miguel Silva to Mario Pereira (899 seconds)
Miguel Silva to Mario Teixeira (852 seconds)
Miguel Silva to Miguel Nunes (231 seconds)
Miguel Silva to Paulo Nunes (515 seconds)
Miguel Silva to Tiago Tavares (114 seconds)
Miguel Tavares to 765628809 (679 seconds)
Miguel Tavares to 920114698 (647 seconds)
Miguel Tavares to Dinis Nunes (452 seconds)
Miguel Tavares to Joao Alberto (301 seconds)
Miguel Tavares to Maria Pacheco (492 seconds)
Miguel Tavares to Mariana Nunes (561 seconds)
Miguel Tavares to Paula Tavares (71 seconds)
Miguel Tavares to Paulo Silva (357 seconds)
Miguel Tavares to Pedro Melo (534 seconds)
Miguel Tavares to Tiago Nunes (552 seconds)
Miguel Teixeira to 095928366 (241 seconds)
Miguel Teixeira to Antonio Pereira (102 seconds)
Miguel Teixeira to Antonio Tavares (197 seconds)
Miguel Teixeira to Luisa Pacheco (73 seconds)
Miguel Teixeira to Maria Oliveira (130 seconds)
Miguel Teixeira to Mariana Alberto (134 seconds)
Miguel Teixeira to Mariana Tavares (848 seconds)
Miguel Teixeira to Paulo Teixeira (586 seconds)
Miguel Teixeira to Rui Oliveira (125 seconds)
Miguel Teixeira to Tomas Melo (717 seconds)
Miguel Teixeira to Tomas Nunes (630 seconds)
Paula Alberto to 560822318 (894 seconds)
Paula Alberto to Ana Melo (105 seconds)
Paula Alberto to Antonio Melo (844 seconds)
Paula Alberto to Dinis Pereira (156 seconds)
Paula Alberto to Joao Pereira (156 seconds)
Paula Alberto to Joao Pereira (599 seconds)
Paula Alberto to Joao Pereira (650 seconds)
Paula Alberto to Joao Silva (400 seconds)
Paula Alberto to Joao Teixeira (371 seconds)
Paula Alberto to Mario Nunes (356 seconds)
Paula Alberto to Miguel Alberto (610 seconds)
Paula Alberto to Paulo Pacheco (492 seconds)
Paula Alberto to Pedro Alberto (218 seconds)
Paula Alberto to Pedro Pacheco (811 seconds)
Paula Alberto to Pedro Silva (562 seconds)
Paula Alberto to Rui Teixeira (37 seconds)
Paula Alberto to Tiago Pacheco (900 seconds)
Paula Melo to Jose Silva (559 seconds)
Paula Melo to Maria Tavares (722 seconds)
Paula Melo to Maria Teixeira (248 seconds)
Paula Melo to Mariana Pereira (869 seconds)
Paula Melo to Mariana Silva (847 seconds)
Paula Melo to Mario Silva (500 seconds)
Paula Melo to Paula Teixeira (680 seconds)
Paula Melo to Tiago Nunes (866 seconds)
Paula Nunes to Antonio Nunes (298 seconds)
Paula Nunes to Antonio Teixeira (753 seconds)
Paula Nunes to Luis Melo (109 seconds)
Paula Nunes to Luis Pereira (829 seconds)
Paula Nunes to Luisa Nunes (391 seconds)
Paula Nunes to Luisa Pacheco (89 seconds)
Paula Nunes to Maria Alberto (488 seconds)
Paula Nunes to Mariana Alberto (798 seconds)
Paula Nunes to Mario Alberto (202 seconds)
Paula Nunes to Pedro Pacheco (101 seconds)
Paula Nunes to Rui Teixeira (328 seconds)
Paula Nunes to Tomas Teixeira (657 seconds)
Paula Oliveira to Joao Pacheco (324 seconds)
Paula Oliveira to Joao Pereira (476 seconds)
Paula Oliveira to Jose Melo (86 seconds)
Paula Oliveira to Jose Oliveira (764 seconds)
Paula Oliveira to Luisa Pacheco (742 seconds)
Paula Oliveira to Maria Melo (377 seconds)
Paula Oliveira to Maria Nunes (406 seconds)
Paula Oliveira to Mariana Teixeira (489 seconds)
Paula Oliveira to Miguel Alberto (345 seconds)
Paula Oliveira to Miguel Pacheco (474 seconds)
Paula Oliveira to Paulo Tavares (669 seconds)
Paula Oliveira to Rui Nunes (316 seconds)
Paula Oliveira to Rui Oliveira (586 seconds)
Paula Oliveira to Sergio Melo (342 seconds)
Paula Oliveira to Sergio Melo (874 seconds)
Paula Oliveira to Tiago Silva (263 seconds)
Paula Pacheco to 362723406 (359 seconds)
Paula Pacheco to 885499640 (178 seconds)
Paula Pacheco to Antonio Melo (124 seconds)
Paula Pacheco to Antonio Nunes (505 seconds)
Paula Pacheco to Dinis Nunes (305 seconds)
Paula Pacheco to Dinis Teixeira (530 seconds)
Paula Pacheco to Jose Silva (29 seconds)
Paula Pacheco to Paula Oliveira (226 seconds)
Paula Pacheco to Paula Silva (588 seconds)
Paula Pacheco to Paulo Silva (702 seconds)
Paula Pacheco to Paulo Teixeira (343 seconds)
Paula Pacheco to Pedro Pacheco (283 seconds)
Paula Pacheco to Pedro Pacheco (359 seconds)
Paula Pacheco to Rui Melo (151 seconds)
Paula Pacheco to Rui Melo (375 seconds)
Paula Pacheco to Rui Nunes (253 seconds)
Paula Pacheco to Sergio Tavares (497 seconds)
Paula Pereira to 138600835 (612 seconds)
Paula Pereira to 403442970 (167 seconds)
Paula Pereira to 993262575 (841 seconds)
Paula Pereira to Ana Silva (553 seconds)
Paula Pereira to Dinis Nunes (463 seconds)
Paula Pereira to Joao Pacheco (282 seconds)
Paula Pereira to Joao Teixeira (300 seconds)
Paula Pereira to Joao Teixeira (865 seconds)
Paula Pereira to Luis Pereira (767 seconds)
Paula Pereira to Maria Pereira (805 seconds)
Paula Pereira to Maria Teixeira (67 seconds)
Paula Pereira to Miguel Nunes (546 seconds)
Paula Pereira to Paula Melo (293 seconds)
Paula Pereira to Rui Oliveira (171 seconds)
Paula Pereira to Rui Teixeira (844 seconds)
Paula Pereira to Sergio Teixeira (519 seconds)
Paula Pereira to Tiago Nunes (210 seconds)
Paula Silva to 518010402 (654 seconds)
Paula Silva to Joao Oliveira (285 seconds)
Paula Silva to Jose Teixeira (894 seconds)
Paula Silva to Luisa Alberto (21 seconds)
Paula Silva to Maria Melo (803 seconds)
Paula Silva to Maria Tavares (306 seconds)
Paula Silva to Mariana Melo (169 seconds)
Paula Silva to Mariana Pacheco (41 seconds)
Paula Silva to Mario Silva (733 seconds)
Paula Silva to Mario Tavares (27 seconds)
Paula Silva to Paula Pereira (313 seconds)
Paula Silva to Paulo Melo (578 seconds)
Paula Silva to Pedro Nunes (189 seconds)
Paula Silva to Pedro Silva (74 seconds)
Paula Silva to Sergio Melo (289 seconds)
Paula Silva to Sergio Tavares (563 seconds)
Paula Silva to Tiago Pacheco (241 seconds)
Paula Silva to Tiago Teixeira (323 seconds)
Paula Silva to Tomas Nunes (728 seconds)
Paula Tavares to Mariana Nunes (133 seconds)
Paula Tavares to Paula Alberto (626 seconds)
Paula Tavares to Paulo Pereira (347 seconds)
Paula Tavares to Pedro Pereira (819 seconds)
Paula Tavares to Rui Alberto (565 seconds)
Paula Tavares to Tiago Alberto (536 seconds)
Paula Teixeira to Antonio Nunes (532 seconds)
Paula Teixeira to Maria Nunes (875 seconds)
Paula Teixeira to Pedro Pereira (209 seconds)
Paula Teixeira to Rui Silva (47 seconds)
Paula Teixeira to Tomas Alberto (298 seconds)
Paula Teixeira to Tomas Pereira (715 seconds)
Paulo Alberto to 283845604 (887 seconds)
Paulo Alberto to Jose Pereira (669 seconds)
Paulo Alberto to Jose Silva (218 seconds)
Paulo Alberto to Luisa Alberto (295 seconds)
Paulo Alberto to Maria Nunes (450 seconds)
Paulo Alberto to Maria Nunes (776 seconds)
Paulo Alberto to Maria Pereira (521 seconds)
Paulo Alberto to Mariana Pereira (775 seconds)
Paulo Alberto to Mario Nunes (242 seconds)
Paulo Alberto to Miguel Silva (716 seconds)
Paulo Alberto to Paulo Silva (602 seconds)
Paulo Alberto to Pedro Oliveira (231 seconds)
Paulo Alberto to Pedro Silva (638 seconds)
Paulo Alberto to Rui Melo (713 seconds)
Paulo Alberto to Sergio Nunes (665 seconds)
Paulo Alberto to Tomas Pereira (725 seconds)
Paulo Melo to 387846203 (295 seconds)
Paulo Melo to 844391033 (466 seconds)
Paulo Melo to Antonio Oliveira (139 seconds)
Paulo Melo to Joao Oliveira (572 seconds)
Paulo Melo to Paulo Nunes (759 seconds)
Paulo Melo to Rui Oliveira (511 seconds)
Paulo Melo to Sergio Pereira (666 seconds)
Paulo Melo to Tiago Pacheco (429 seconds)
Paulo Nunes to 276270582 (868 seconds)
Paulo Nunes to 631147046 (113 seconds)
Paulo Nunes to Ana Pacheco (52 seconds)
Paulo Nunes to Antonio Pacheco (736 seconds)
Paulo Nunes to Dinis Alberto (113 seconds)
Paulo Nunes to Dinis Oliveira (608 seconds)
Paulo Nunes to Dinis Teixeira (410 seconds)
Paulo Nunes to Joao Pereira (888 seconds)
Paulo Nunes to Jose Teixeira (268 seconds)
Paulo Nunes to Luisa Pereira (866 seconds)
Paulo Nunes to Maria Pacheco (314 seconds)
Paulo Nunes to Mario Tavares (711 seconds)
Paulo Nunes to Miguel Nunes (396 seconds)
Paulo Nunes to Miguel Pacheco (206 seconds)
Paulo Nunes to Miguel Silva (313 seconds)
Paulo Nunes to Paula Pereira (596 seconds)
Paulo Nunes to Pedro Pacheco (197 seconds)
Paulo Nunes to Rui Alberto (342 seconds)
Paulo Nunes to Rui Teixeira (71 seconds)
Paulo Nunes to Sergio Alberto (776 seconds)
Paulo Nunes to Tiago Teixeira (724 seconds)
Paulo Nunes to Tomas Melo (183 seconds)
Paulo Nunes to Tomas Pacheco (878 seconds)
Paulo Nunes to Tomas Tavares (450 seconds)
Paulo Oliveira to 447739983 (628 seconds)
Paulo Oliveira to 469725175 (531 seconds)
Paulo Oliveira to 673610758 (725 seconds)
Paulo Oliveira to Luis Alberto (252 seconds)
Paulo Oliveira to Luisa Nunes (764 seconds)
Paulo Oliveira to Mario Melo (562 seconds)
Paulo Oliveira to Miguel Nunes (420 seconds)
Paulo Oliveira to Paula Silva (436 seconds)
Paulo Oliveira to Tomas Pereira (187 seconds)
Paulo Pacheco to 195238673 (237 seconds)
Paulo Pacheco to 529911015 (792 seconds)
Paulo Pacheco to Jose Oliveira (163 seconds)
Paulo Pacheco to Luis Silva (277 seconds)
Paulo Pacheco to Luisa Teixeira (517 seconds)
Paulo Pacheco to Maria Nunes (181 seconds)
Paulo Pacheco to Maria Tavares (829 seconds)
Paulo Pacheco to Miguel Pacheco (419 seconds)
Paulo Pacheco to Paula Pacheco (483 seconds)
Paulo Pacheco to Paula Silva (43 seconds)
Paulo Pacheco to Pedro Alberto (541 seconds)
Paulo Pacheco to Pedro Oliveira (833 seconds)
Paulo Pacheco to Tomas Pereira (10 seconds)
Paulo Pacheco to Tomas Silva (274 seconds)
Paulo Pereira to 386325185 (860 seconds)
Paulo Pereira to 471036874 (566 seconds)
Paulo Pereira to Dinis Pereira (164 seconds)
Paulo Pereira to Dinis Teixeira (403 seconds)
Paulo Pereira to Luis Silva (278 seconds)
Paulo Pereira to Luisa Teixeira (644 seconds)
Paulo Pereira to Maria Pereira (262 seconds)
Paulo Pereira to Miguel Alberto (563 seconds)
Paulo Pereira to Paula Nunes (254 seconds)
Paulo Pereira to Paula Oliveira (687 seconds)
Paulo Pereira to Rui Pacheco (232 seconds)
Paulo Silva to 307258010 (839 seconds)
Paulo Silva to 366900676 (614 seconds)
Paulo Silva to 518313155 (407 seconds)
Paulo Silva to Jose Nunes (108 seconds)
Paulo Silva to Jose Silva (701 seconds)
Paulo Silva to Luis Nunes (570 seconds)
Paulo Silva to Luis Teixeira (650 seconds)
Paulo Silva to Luisa Pereira (713 seconds)
Paulo Silva to Maria Tavares (838 seconds)
Paulo Silva to Mariana Silva (376 seconds)
Paulo Silva to Mario Alberto (828 seconds)
Paulo Silva to Paula Nunes (387 seconds)
Paulo Silva to Paulo Pacheco (461 seconds)
Paulo Silva to Paulo Silva (721 seconds)
Paulo Silva to Pedro Melo (42 seconds)
Paulo Silva to Pedro Tavares (563 seconds)
Paulo Silva to Rui Tavares (784 seconds)
Paulo Silva to Sergio Pacheco (173 seconds)
Paulo Silva to Tiago Alberto (848 seconds)
Paulo Silva to Tiago Nunes (148 seconds)
Paulo Silva to Tomas Alberto (290 seconds)
Paulo Silva to Tomas Nunes (73 seconds)
Paulo Silva to Tomas Tavares (561 seconds)
Paulo Tavares to 485967275 (81 seconds)
Paulo Tavares to Ana Alberto (275 seconds)
Paulo Tavares to Ana Pereira (611 seconds)
Paulo Tavares to Antonio Pacheco (355 seconds)
Paulo Tavares to Joao Pereira (638 seconds)
Paulo Tavares to Jose Alberto (806 seconds)
Paulo Tavares to Luis Teixeira (886 seconds)
Paulo Tavares to Maria Nunes (318 seconds)
Paulo Tavares to Mariana Melo (144 seconds)
Paulo Tavares to Mario Pereira (114 seconds)
Paulo Tavares to Miguel Alberto (203 seconds)
Paulo Tavares to Pedro Pereira (759 seconds)
Paulo Tavares to Sergio Alberto (520 seconds)
Paulo Tavares to Sergio Teixeira (353 seconds)
Paulo Teixeira to Dinis Nunes (304 seconds)
Paulo Teixeira to Dinis Teixeira (672 seconds)
Paulo Teixeira to Joao Pereira (236 seconds)
Paulo Teixeira to Maria Nunes (153 seconds)
Paulo Teixeira to Maria Oliveira (721 seconds)
Paulo Teixeira to Miguel Pereira (748 seconds)
Paulo Teixeira to Paulo Melo (340 seconds)
Paulo Teixeira to Pedro Alberto (849 seconds)
Paulo Teixeira to Rui Nunes (649 seconds)
Pedro Alberto to Ana Alberto (554 seconds)
Pedro Alberto to Antonio Nunes (673 seconds)
Pedro Alberto to Antonio Teixeira (461 seconds)
Pedro Alberto to Antonio Teixeira (787 seconds)
Pedro Alberto to Dinis Teixeira (619 seconds)
Pedro Alberto to Joao Oliveira (359 seconds)
Pedro Alberto to Jose Melo (780 seconds)
Pedro Alberto to Luisa Pereira (796 seconds)
Pedro Alberto to Mario Teixeira (199 seconds)
Pedro Alberto to Miguel Melo (666 seconds)
Pedro Alberto to Miguel Pacheco (141 seconds)
Pedro Alberto to Paula Pereira (735 seconds)
Pedro Alberto to Paulo Nunes (261 seconds)
Pedro Alberto to Paulo Pereira (180 seconds)
Pedro Alberto to Pedro Melo (340 seconds)
Pedro Alberto to Tiago Oliveira (808 seconds)
Pedro Alberto to Tiago Pereira (176 seconds)
Pedro Melo to 171900284 (777 seconds)
Pedro Melo to Jose Nunes (754 seconds)
Pedro Melo to Jose Nunes (76 seconds)
Pedro Melo to Luis Nunes (783 seconds)
Pedro Melo to Maria Pereira (337 seconds)
Pedro Melo to Mario Silva (211 seconds)
Pedro Melo to Miguel Silva (760 seconds)
Pedro Melo to Miguel Teixeira (689 seconds)
Pedro Melo to Pedro Nunes (739 seconds)
Pedro Melo to Pedro Pacheco (637 seconds)
Pedro Melo to Sergio Tavares (614 seconds)
Pedro Nunes to Dinis Pereira (744 seconds)
Pedro Nunes to Dinis Teixeira (629 seconds)
Pedro Nunes to Maria Oliveira (792 seconds)
Pedro Nunes to Pedro Pacheco (771 seconds)
Pedro Oliveira to 620222253 (829 seconds)
Pedro Oliveira to Ana Oliveira (876 seconds)
Pedro Oliveira to Ana Tavares (566 seconds)
Pedro Oliveira to Dinis Nunes (594 seconds)
Pedro Oliveira to Dinis Pereira (837 seconds)
Pedro Oliveira to Mario Tavares (747 seconds)
Pedro Oliveira to Miguel Alberto (655 seconds)
Pedro Oliveira to Miguel Oliveira (827 seconds)
Pedro Oliveira to Paula Oliveira (510 seconds)
Pedro Oliveira to Paula Teixeira (294 seconds)
Pedro Oliveira to Paulo Alberto (28 seconds)
Pedro Oliveira to Paulo Melo (53 seconds)
Pedro Oliveira to Rui Nunes (451 seconds)
Pedro Oliveira to Rui Pacheco (132 seconds)
Pedro Oliveira to Sergio Pacheco (706 seconds)
Pedro Oliveira to Sergio Pacheco (708 seconds)
Pedro Oliveira to Tomas Alberto (741 seconds)
Pedro Oliveira to Tomas Silva (850 seconds)
Pedro Pacheco to 488161783 (753 seconds)
Pedro Pacheco to Antonio Teixeira (43 seconds)
Pedro Pacheco to Jose Melo (606 seconds)
Pedro Pacheco to Jose Silva (79 seconds)
Pedro Pacheco to Maria Pacheco (534 seconds)
Pedro Pacheco to Mariana Silva (208 seconds)
Pedro Pacheco to Mariana Silva (315 seconds)
Pedro Pacheco to Mario Alberto (816 seconds)
Pedro Pacheco to Paula Silva (707 seconds)
Pedro Pacheco to Pedro Pereira (478 seconds)
Pedro Pacheco to Rui Oliveira (603 seconds)
Pedro Pacheco to Tomas Silva (262 seconds)
Pedro Pereira to Antonio Tavares (744 seconds)
Pedro Pereira to Dinis Oliveira (127 seconds)
Pedro Pereira to Joao Pacheco (305 seconds)
Pedro Pereira to Joao Silva (897 seconds)
Pedro Pereira to Jose Alberto (683 seconds)
Pedro Pereira to Jose Nunes (548 seconds)
Pedro Pereira to Jose Oliveira (107 seconds)
Pedro Pereira to Jose Oliveira (123 seconds)
Pedro Pereira to Jose Pereira (814 seconds)
Pedro Pereira to Luisa Oliveira (859 seconds)
Pedro Pereira to Mariana Alberto (256 seconds)
Pedro Pereira to Mario Alberto (373 seconds)
Pedro Pereira to Mario Tavares (76 seconds)
Pedro Pereira to Miguel Nunes (736 seconds)
Pedro Pereira to Miguel Silva (358 seconds)
Pedro Pereira to Paulo Teixeira (71 seconds)
Pedro Pereira to Pedro Melo (319 seconds)
Pedro Pereira to Pedro Oliveira (653 seconds)
Pedro Pereira to Pedro Pacheco (430 seconds)
Pedro Pereira to Pedro Pereira (881 seconds)
Pedro Pereira to Pedro Tavares (356 seconds)
Pedro Pereira to Sergio Alberto (741 seconds)
Pedro Pereira to Tomas Pereira (770 seconds)
Pedro Silva to 265121974 (195 seconds)
Pedro Silva to 361892066 (275 seconds)
Pedro Silva to 612286824 (543 seconds)
Pedro Silva to 918307328 (650 seconds)
Pedro Silva to Dinis Alberto (484 seconds)
Pedro Silva to Dinis Nunes (23 seconds)
Pedro Silva to Joao Pacheco (719 seconds)
Pedro Silva to Jose Tavares (716 seconds)
Pedro Silva to Luisa Melo (158 seconds)
Pedro Silva to Luisa Pereira (23 seconds)
Pedro Silva to Luisa Silva (680 seconds)
Pedro Silva to Paula Pacheco (157 seconds)
Pedro Silva to Tiago Teixeira (354 seconds)
Pedro Tavares to 048372723 (286 seconds)
Pedro Tavares to 073574410 (736 seconds)
Pedro Tavares to Antonio Tavares (29 seconds)
Pedro Tavares to Luisa Alberto (212 seconds)
Pedro Tavares to Luisa Pacheco (46 seconds)
Pedro Tavares to Mariana Nunes (809 seconds)
Pedro Tavares to Mario Pacheco (51 seconds)
Pedro Tavares to Paulo Silva (801 seconds)
Pedro Tavares to Paulo Teixeira (269 seconds)
Pedro Tavares to Pedro Nunes (376 seconds)
Pedro Tavares to Pedro Pacheco (817 seconds)
Pedro Tavares to Rui Silva (844 seconds)
Pedro Teixeira to Joao Nunes (639 seconds)
Pedro Teixeira to Joao Pacheco (19 seconds)
Pedro Teixeira to Jose Oliveira (162 seconds)
Pedro Teixeira to Luisa Pacheco (897 seconds)
Pedro Teixeira to Miguel Melo (352 seconds)
Pedro Teixeira to Pedro Silva (736 seconds)
Pedro Teixeira to Sergio Alberto (705 seconds)
Pedro Teixeira to Sergio Alberto (876 seconds)
Pedro Teixeira to Tiago Pacheco (85 seconds)
Rui Alberto to Ana Melo (802 seconds)
Rui Alberto to Ana Oliveira (366 seconds)
Rui Alberto to Luis Teixeira (179 seconds)
Rui Alberto to Mariana Alberto (581 seconds)
Rui Alberto to Mariana Nunes (367 seconds)
Rui Alberto to Paulo Melo (308 seconds)
Rui Alberto to Rui Nunes (16 seconds)
Rui Alberto to Rui Oliveira (488 seconds)
Rui Alberto to Sergio Alberto (542 seconds)
Rui Alberto to Tomas Nunes (487 seconds)
Rui Alberto to Tomas Pacheco (526 seconds)
Rui Alberto to Tomas Silva (538 seconds)
Rui Melo to 762039619 (496 seconds)
Rui Melo to 877420932 (412 seconds)
Rui Melo to Ana Melo (360 seconds)
Rui Melo to Ana Silva (738 seconds)
Rui Melo to Jose Silva (524 seconds)
Rui Melo to Luis Silva (724 seconds)
Rui Melo to Luisa Alberto (95 seconds)
Rui Melo to Mariana Alberto (280 seconds)
Rui Melo to Mariana Teixeira (797 seconds)
Rui Melo to Mario Alberto (66 seconds)
Rui Melo to Pedro Oliveira (686 seconds)
Rui Melo to Pedro Pereira (51 seconds)
Rui Melo to Rui Pacheco (526 seconds)
Rui Melo to Rui Silva (90 seconds)
Rui Melo to Tiago Oliveira (812 seconds)
Rui Melo to Tomas Nunes (123 seconds)
Rui Nunes to 214443016 (374 seconds)
Rui Nunes to 755572243 (459 seconds)
Rui Nunes to 827072332 (652 seconds)
Rui Nunes to Dinis Silva (729 seconds)
Rui Nunes to Joao Oliveira (213 seconds)
Rui Nunes to Joao Silva (738 seconds)
Rui Nunes to Joao Tavares (554 seconds)
Rui Nunes to Jose Tavares (79 seconds)
Rui Nunes to Luis Melo (148 seconds)
Rui Nunes to Luis Tavares (132 seconds)
Rui Nunes to Maria Silva (678 seconds)
Rui Nunes to Maria Teixeira (234 seconds)
Rui Nunes to Mariana Alberto (387 seconds)
Rui Nunes to Mariana Alberto (664 seconds)
Rui Nunes to Mario Alberto (417 seconds)
Rui Nunes to Paulo Alberto (332 seconds)
Rui Nunes to Paulo Nunes (711 seconds)
Rui Nunes to Paulo Teixeira (489 seconds)
Rui Nunes to Pedro Pacheco (151 seconds)
Rui Nunes to Pedro Teixeira (166 seconds)
Rui Nunes to Sergio Tavares (772 seconds)
Rui Oliveira to Ana Tavares (726 seconds)
Rui Oliveira to Ana Teixeira (156 seconds)
Rui Oliveira to Ana Teixeira (295 seconds)
Rui Oliveira to Joao Silva (783 seconds)
Rui Oliveira to Jose Melo (791 seconds)
Rui Oliveira to Jose Oliveira (481 seconds)
Rui Oliveira to Jose Tavares (193 seconds)
Rui Oliveira to Luisa Alberto (749 seconds)
Rui Oliveira to Maria Oliveira (589 seconds)
Rui Oliveira to Mariana Melo (622 seconds)
Rui Oliveira to Mario Melo (42 seconds)
Rui Oliveira to Paula Pacheco (787 seconds)
Rui Oliveira to Paulo Alberto (115 seconds)
Rui Oliveira to Paulo Nunes (358 seconds)
Rui Oliveira to Paulo Oliveira (73 seconds)
Rui Oliveira to Paulo Tavares (31 seconds)
Rui Oliveira to Rui Pacheco (308 seconds)
Rui Oliveira to Rui Pacheco (505 seconds)
Rui Oliveira to Sergio Oliveira (850 seconds)
Rui Oliveira to Sergio Silva (617 seconds)
Rui Oliveira to Tomas Silva (175 seconds)
Rui Pacheco to 117142548 (61 seconds)
Rui Pacheco to 179564526 (120 seconds)
Rui Pacheco to Antonio Melo (516 seconds)
Rui Pacheco to Antonio Tavares (900 seconds)
Rui Pacheco to Dinis Silva (445 seconds)
Rui Pacheco to Joao Pereira (169 seconds)
Rui Pacheco to Paula Oliveira (139 seconds)
Rui Pacheco to Paulo Tavares (450 seconds)
Rui Pacheco to Pedro Pereira (79 seconds)
Rui Pacheco to Tomas Oliveira (391 seconds)
Rui Pacheco to Tomas Teixeira (173 seconds)
Rui Pereira to Joao Nunes (713 seconds)
Rui Pereira to Luis Oliveira (116 seconds)
Rui Pereira to Pedro Tavares (644 seconds)
Rui Pereira to Rui Pacheco (842 seconds)
Rui Silva to 305708360 (135 seconds)
Rui Silva to Ana Nunes (483 seconds)
Rui Silva to Ana Silva (719 seconds)
Rui Silva to Joao Silva (563 seconds)
Rui Silva to Jose Melo (389 seconds)
Rui Silva to Jose Teixeira (296 seconds)
Rui Silva to Luis Alberto (605 seconds)
Rui Silva to Luisa Teixeira (193 seconds)
Rui Silva to Luisa Teixeira (588 seconds)
Rui Silva to Mario Silva (651 seconds)
Rui Silva to Mario Teixeira (648 seconds)
Rui Silva to Pedro Nunes (771 seconds)
Rui Silva to Rui Melo (20 seconds)
Rui Silva to Tomas Alberto (464 seconds)
Rui Silva to Tomas Nunes (699 seconds)
Rui Silva to Tomas Teixeira (401 seconds)
Rui Tavares to 834318336 (95 seconds)
Rui Tavares to Antonio Nunes (97 seconds)
Rui Tavares to Antonio Pacheco (274 seconds)
Rui Tavares to Dinis Melo (743 seconds)
Rui Tavares to Joao Nunes (233 seconds)
Rui Tavares to Joao Oliveira (90 seconds)
Rui Tavares to Jose Pacheco (165 seconds)
Rui Tavares to Maria Tavares (833 seconds)
Rui Tavares to Mario Silva (297 seconds)
Rui Tavares to Paula Alberto (34 seconds)
Rui Tavares to Paula Alberto (479 seconds)
Rui Tavares to Paula Nunes (688 seconds)
Rui Tavares to Sergio Silva (884 seconds)
Rui Tavares to Tomas Pereira (461 seconds)
Rui Tavares to Tomas Silva (773 seconds)
Rui Teixeira to 220937551 (536 seconds)
Rui Teixeira to 928409823 (716 seconds)
Rui Teixeira to Antonio Tavares (855 seconds)
Rui Teixeira to Dinis Teixeira (160 seconds)
Rui Teixeira to Luis Alberto (815 seconds)
Rui Teixeira to Miguel Tavares (30 seconds)
Rui Teixeira to Paulo Teixeira (12 seconds)
Rui Teixeira to Pedro Alberto (22 seconds)
Rui Teixeira to Rui Alberto (681 seconds)
Sergio Alberto to Ana Tavares (823 seconds)
Sergio Alberto to Dinis Nunes (669 seconds)
Sergio Alberto to Joao Tavares (705 seconds)
Sergio Alberto to Maria Nunes (510 seconds)
Sergio Alberto to Maria Nunes (583 seconds)
Sergio Alberto to Maria Teixeira (253 seconds)
Sergio Alberto to Mariana Nunes (128 seconds)
Sergio Alberto to Mario Oliveira (715 seconds)
Sergio Alberto to Miguel Alberto (675 seconds)
Sergio Alberto to Paula Pacheco (259 seconds)
Sergio Alberto to Paulo Teixeira (116 seconds)
Sergio Alberto to Pedro Pacheco (891 seconds)
Sergio Alberto to Pedro Pereira (308 seconds)
Sergio Alberto to Rui Pereira (153 seconds)
Sergio Alberto to Sergio Alberto (291 seconds)
Sergio Alberto to Sergio Melo (589 seconds)
Sergio Alberto to Tiago Pacheco (672 seconds)
Sergio Melo to Antonio Teixeira (273 seconds)
Sergio Melo to Mariana Tavares (77 seconds)
Sergio Melo to Pedro Pacheco (149 seconds)
Sergio Melo to Tomas Pacheco (572 seconds)
Sergio Nunes to 020774743 (889 seconds)
Sergio Nunes to 181917271 (490 seconds)
Sergio Nunes to Ana Pereira (16 seconds)
Sergio Nunes to Ana Tavares (892 seconds)
Sergio Nunes to Dinis Teixeira (270 seconds)
Sergio Nunes to Dinis Teixeira (390 seconds)
Sergio Nunes to Jose Pereira (240 seconds)
Sergio Nunes to Luis Melo (69 seconds)
Sergio Nunes to Luis Tavares (73 seconds)
Sergio Nunes to Luisa Tavares (114 seconds)
Sergio Nunes to Mariana Nunes (787 seconds)
Sergio Nunes to Mario Nunes (656 seconds)
Sergio Nunes to Mario Silva (349 seconds)
Sergio Nunes to Rui Alberto (39 seconds)
Sergio Nunes to Tomas Nunes (790 seconds)
Sergio Oliveira to Mariana Pereira (15 seconds)
Sergio Oliveira to Mario Melo (584 seconds)
Sergio Oliveira to Paula Silva (554 seconds)
Sergio Oliveira to Paulo Oliveira (643 seconds)
Sergio Oliveira to Sergio Silva (20 seconds)
Sergio Oliveira to Tomas Silva (718 seconds)
Sergio Pacheco to Antonio Melo (875 seconds)
Sergio Pacheco to Luisa Pereira (229 seconds)
Sergio Pacheco to Mariana Teixeira (492 seconds)
Sergio Pacheco to Mario Melo (37 seconds)
Sergio Pacheco to Miguel Melo (757 seconds)
Sergio Pacheco to Paula Nunes (258 seconds)
Sergio Pacheco to Tomas Pereira (871 seconds)
Sergio Pereira to 410134332 (375 seconds)
Sergio Pereira to 803893198 (773 seconds)
Sergio Pereira to Joao Teixeira (850 seconds)
Sergio Pereira to Jose Silva (194 seconds)
Sergio Pereira to Paulo Oliveira (852 seconds)
Sergio Pereira to Pedro Pacheco (679 seconds)
